ID	Genome Name	Epi-type	subepi-type	Host	Host latin	Isolation Source	Collection Date	Continent	Isolation Country	Geographic Location	O-antigen	H-antigen	Accessory genome size	MLST	Count plasmid markers	Count virulence factors	FimH allele
21-MO00410-0	21-MO00410-0	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2016	Europe	Germany	Hesse	Onovel8	H56	very large	Unknown	2	54	fimH630
21-MO00411-0	21-MO00411-0	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2016	Europe	Germany	Saxony	O10	H56	very large	133	3	61	fimH630
21-MO00455-0	21-MO00455-0	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2020	Europe	Germany	Mecklenburg-Western Pomerania	O2-O50-Gp7/O2-Gp7	H56	very large	5600	3	54	fimH160
21-MO00456-0	21-MO00456-0	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2020	Europe	Germany	Mecklenburg-Western Pomerania	O10	H56	large	133	2	61	fimH630
21-MO00467-0	21-MO00467-0	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2020	Europe	Germany	Schleswig-Holstein	O10	H56	very large	133	2	61	fimH630
21-MO00471-0	21-MO00471-0	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2020	Europe	Germany	Rhineland-Palatinate	O88	H56	very large	133	4	53	fimH630
21-MO00473-0	21-MO00473-0	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2020	Europe	Germany	Rhineland-Palatinate	Onovel8	H56	very large	Unknown	5	54	fimH630
21-MO00586-0	21-MO00586-0	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2016	Europe	Germany	Lower Saxony	O10	H56	very large	133	5	61	fimH630
21-MO00588-0	21-MO00588-0	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2020	Europe	Germany	Rhineland-Palatinate	O53	H56	large	2721	4	59	fimH621
21-MO00589-0	21-MO00589-0	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2020	Europe	Germany	Lower Saxony	O130	H56	intermdiate	4104	2	50	fimH160
21-MO00590-0	21-MO00590-0	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2020	Europe	Germany	Lower Saxony	O2-O50-Gp7/O2-Gp7	H56	very large	5600	2	54	fimH160
21-MO00591-0	21-MO00591-0	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2020	Europe	Germany	Lower Saxony	O156	H56	intermdiate	7630	2	53	fimH627
21-MO00592-0	21-MO00592-0	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2020	Europe	Germany	Saarland	O2-O50-Gp7/O2-Gp7	H56	very large	5600	2	54	fimH160
21-MO00593-0	21-MO00593-0	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2020	Europe	Germany	Thuringia	O2-O50-Gp7/O2-Gp7	H56	large	8370	1	66	fimH160
21-MO00612-1	21-MO00612-1	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2020	Europe	Germany	Mecklenburg-Western Pomerania	O10	H56	very large	133	2	53	fimH630
21-MO00613-0	21-MO00613-0	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2020	Europe	Germany	Rhineland-Palatinate	Onovel13	H56	very large	133	3	61	fimH630
21-MO00625-0	21-MO00625-0	Animal	Wildlife	Wild Boar	Sus scrofa	Feces	2020	Europe	Germany	Rhineland-Palatinate	Onovel8	H56	very large	Unknown	2	60	fimH630
21-MO01153-0	21-MO01153-0	Animal	Wildlife	Duck		Kidney	2014	Europe	Germany	Mecklenburg-Western Pomerania	Onovel13	H56	small	Unknown	2	42	fimH630
